transaction_type,transaction_date,description,team_abbr,player_id,player_slug,group_sort
Signing,2026-07-02,Toronto Raptors signed forward Allen Graves to a Rookie Scale Contract.,TOR,1643512.0,allen-graves,Signing 1152694
Signing,2026-07-02,Washington Wizards signed forward AJ Dybantsa to a Rookie Scale Contract.,WAS,1643407.0,aj-dybantsa,Signing 1152695
Signing,2026-07-02,Atlanta Hawks signed guard Kingston Flemings to a Rookie Scale Contract.,ATL,1643412.0,kingston-flemings,Signing 1152700
Signing,2026-07-02,Sacramento Kings signed forward Jonathan Mogbo to a Two-Way Contract.,SAC,1642367.0,jonathan-mogbo,Signing 1152701
Signing,2026-07-02,Miami Heat re-signed forward Simone Fontecchio to a Contract.,MIA,1631323.0,simone-fontecchio,Signing 1152702
Signing,2026-07-02,Minnesota Timberwolves re-signed forward Enrique Freeman to a Two-Way Contract.,MIN,1642402.0,enrique-freeman,Signing 1152704
Signing,2026-07-02,Dallas Mavericks signed forward Morez Johnson to a Rookie Scale Contract.,DAL,1643516.0,morez-johnson,Signing 1152731
Signing,2026-07-02,Toronto Raptors re-signed guard Alijah Martin to a Contract.,TOR,1642918.0,alijah-martin,Signing 1152732
Signing,2026-07-02,Detroit Pistons signed center Ugonna Onyenso to a Two-Way Contract.,DET,1642391.0,ugonna-onyenso,Signing 1152734
Signing,2026-07-02,Sacramento Kings re-signed guard Daeqwon Plowden to a Contract.,SAC,1631342.0,daeqwon-plowden,Signing 1152735
Signing,2026-07-02,Los Angeles Lakers signed guard Cameron Carr to a Rookie Scale Contract.,LAL,1643418.0,cameron-carr,Signing 1152736
Signing,2026-07-02,Brooklyn Nets signed guard Mikel Brown Jr. to a Rookie Scale Contract.,BRK,1643414.0,mikel-brown-jr,Signing 1152737
Signing,2026-07-02,Brooklyn Nets signed forward Tyler Bilodeau to a Two-Way Contract.,BRK,1643548.0,tyler-bilodeau,Signing 1152738
Waive,2026-07-02,Oklahoma City Thunder waived forward Payton Sandfort.,OKC,1642362.0,payton-sandfort,Waive 1152733
Signing,2026-07-01,Portland Trail Blazers signed center Branden Carlson to a Contract.,POR,1642382.0,branden-carlson,Signing 1152649
Signing,2026-07-01,Washington Wizards re-signed forward Jamir Watkins to a Two-Way Contract.,WAS,1642364.0,jamir-watkins,Signing 1152661
Signing,2026-07-01,Cleveland Cavaliers signed guard Meleek Thomas to a Contract.,CLE,1643509.0,meleek-thomas,Signing 1152662
Signing,2026-07-01,"Cleveland Cavaliers signed center Ernest Udeh, Jr. to a Two-Way Contract.",CLE,1643640.0,"ernest-udeh,-jr",Signing 1152663
Signing,2026-07-01,Orlando Magic signed forward Jonathan Isaac to a Contract.,ORL,1628371.0,jonathan-isaac,Signing 1152665
Signing,2026-07-01,Orlando Magic re-signed guard Jevon Carter to a Contract.,ORL,1628975.0,jevon-carter,Signing 1152666
Signing,2026-07-01,Orlando Magic signed center Nikola Vucevic to a Contract.,ORL,202696.0,nikola-vucevic,Signing 1152667
Signing,2026-07-01,Atlanta Hawks signed forward Zuby Ejiofor to a Rookie Scale Contract.,ATL,1643544.0,zuby-ejiofor,Signing 1152671
Signing,2026-07-01,Atlanta Hawks signed center Henri Veesaar to a Contract.,ATL,1643539.0,henri-veesaar,Signing 1152672
Signing,2026-07-01,Milwaukee Bucks signed forward Bogoljub Markovic to a Contract.,MIL,1642881.0,bogoljub-markovic,Signing 1152673
Signing,2026-07-01,Golden State Warriors signed forward Yaxel Lendeborg to a Rookie Scale Contract.,GSW,1642865.0,yaxel-lendeborg,Signing 1152674
Signing,2026-07-01,Phoenix Suns signed forward Koa Peat to a Rookie Scale Contract.,PHO,1643520.0,koa-peat,Signing 1152676
Signing,2026-07-01,Sacramento Kings signed guard Adam Flagler to a Two-Way Contract.,SAC,1641745.0,adam-flagler,Signing 1152677
Signing,2026-07-01,Utah Jazz signed guard Darryn Peterson to a Rookie Scale Contract.,UTA,1643408.0,darryn-peterson,Signing 1152678
Signing,2026-07-01,Miami Heat signed guard Ryan Conwell to a Contract.,MIA,1643553.0,ryan-conwell,Signing 1152679
Signing,2026-07-01,Orlando Magic re-signed center Colin Castleton to a Two-Way Contract.,ORL,1630658.0,colin-castleton,Signing 1152682
Signing,2026-07-01,Orlando Magic signed forward Izaiyah Nelson to a Two-Way Contract.,ORL,1643593.0,izaiyah-nelson,Signing 1152683
Signing,2026-07-01,"Cleveland Cavaliers signed center Ernest Udeh, Jr. to a Two-Way Contract.",CLE,1643640.0,"ernest-udeh,-jr",Signing 1152685
Signing,2026-07-01,Boston Celtics re-signed forward Amari Williams to a Two-Way Contract.,BOS,1642873.0,amari-williams,Signing 1152686
Signing,2026-07-01,Sacramento Kings signed guard Emanuel Sharp to a Contract.,SAC,1643567.0,emanuel-sharp,Signing 1152687
Signing,2026-07-01,Sacramento Kings signed forward Alex Karaban to a Rookie Scale Contract.,SAC,1642284.0,alex-karaban,Signing 1152688
Signing,2026-07-01,Sacramento Kings signed guard Darius Acuff Jr. to a Rookie Scale Contract.,SAC,1643411.0,darius-acuff-jr,Signing 1152689
Waive,2026-07-01,Chicago Bulls waived guard Kam Jones.,CHI,1642880.0,kam-jones,Waive 1152680
Waive,2026-07-01,Washington Wizards waived forward Leaky Black.,WAS,1641778.0,leaky-black,Waive 1152681
Signing,2026-06-30,Portland Trail Blazers re-signed center Robert Williams III to a Veteran Extension.,POR,1629057.0,robert-williams-iii,Signing 1151736
Signing,2026-06-30,Golden State Warriors re-signed forward Kristaps Porzingis to a Veteran Extension.,GSW,204001.0,kristaps-porzingis,Signing 1151737
Signing,2026-06-30,Chicago Bulls re-signed forward Zach Collins to a Veteran Extension.,CHI,1628380.0,zach-collins,Signing 1151739
Trade,2026-06-30,Atlanta Hawks received guard Devin Carter from Sacramento Kings.,ATL,1642269.0,devin-carter,Trade 2025064
Trade,2026-06-30,Atlanta Hawks received draft consideration from Sacramento Kings.,ATL,0.0,,Trade 2025064
Signing,2026-06-29,Brooklyn Nets re-signed guard Chaney Johnson to a Two-Way Contract.,BRK,1643052.0,chaney-johnson,Signing 1151670
Signing,2026-06-29,San Antonio Spurs re-signed forward Julian Champagnie to a Veteran Extension.,SAS,1630577.0,julian-champagnie,Signing 1151685
Trade,2026-06-29,Portland Trail Blazers received guard Ja Morant from Memphis Grizzlies.,POR,1629630.0,ja-morant,Trade 2025063
Trade,2026-06-29,Memphis Grizzlies received forward Kris Murray from Portland Trail Blazers.,MEM,1631200.0,kris-murray,Trade 2025063
Trade,2026-06-29,Memphis Grizzlies received forward Jerami Grant from Portland Trail Blazers.,MEM,203924.0,jerami-grant,Trade 2025063
Waive,2026-06-27,Orlando Magic waived forward Jonathan Isaac.,ORL,1628371.0,jonathan-isaac,Waive 1151621
Signing,2026-06-25,Toronto Raptors re-signed guard Chucky Hepburn to a Two-Way Contract.,TOR,1642935.0,chucky-hepburn,Signing 1151603
Trade,2026-06-24,Chicago Bulls received guard Kam Jones from Indiana Pacers.,CHI,1642880.0,kam-jones,Trade 2025058
Trade,2026-06-24,Chicago Bulls received draft consideration from Indiana Pacers.,CHI,0.0,,Trade 2025058
Signing,2026-06-22,Atlanta Hawks re-signed guard CJ McCollum to a Veteran Extension.,ATL,203468.0,cj-mccollum,Signing 1151464
Signing,2026-04-12,Brooklyn Nets signed forward Trevon Scott to a 10-Day Contract.,BRK,1630286.0,trevon-scott,Signing 1148574
Signing,2026-04-12,Los Angeles Lakers re-signed guard Nick Smith Jr. to a Rest-of-Season Contract.,LAL,1641733.0,nick-smith-jr,Signing 1148584
ContractConverted,2026-04-11,Toronto Raptors converted the contract of guard A.J. Lawson to an NBA Contract.,TOR,1630639.0,aj-lawson,ContractConverted 1148548
Signing,2026-04-11,Utah Jazz signed guard Hayden Gray to a Rest-of-Season Contract.,UTA,1643060.0,hayden-gray,Signing 1148516
Signing,2026-04-11,Boston Celtics signed forward Dalano Banton to a Rest-of-Season Contract.,BOS,1630625.0,dalano-banton,Signing 1148517
Signing,2026-04-11,Miami Heat re-signed guard Jahmir Young to a Rest-of-Season Contract.,MIA,1642443.0,jahmir-young,Signing 1148547
Signing,2026-04-10,Memphis Grizzlies signed guard Lucas Williamson to a 10-Day Contract.,MEM,1631351.0,lucas-williamson,Signing 1148495
Signing,2026-04-10,Philadelphia 76ers re-signed forward Dalen Terry to a Rest-of-Season Contract.,PHI,1631207.0,dalen-terry,Signing 1148507
Waive,2026-04-10,Los Angeles Lakers waived guard Kobe Bufkin.,LAL,1641723.0,kobe-bufkin,Waive 1148503
Waive,2026-04-10,Miami Heat waived guard Terry Rozier.,MIA,1626179.0,terry-rozier,Waive 1148504
Waive,2026-04-10,Philadelphia 76ers waived guard Cameron Payne.,PHI,1626166.0,cameron-payne,Waive 1148505
Waive,2026-04-10,Toronto Raptors waived guard Tyreke Key.,TOR,1642615.0,tyreke-key,Waive 1148506
Signing,2026-04-09,Chicago Bulls signed forward Mouhamadou Gueye to a Rest-of-Season Contract.,CHI,1631338.0,mouhamadou-gueye,Signing 1148489
Signing,2026-04-07,Memphis Grizzlies signed guard Adama Bal to a 10-Day Contract.,MEM,1642380.0,adama-bal,Signing 1148392
Signing,2026-04-07,Houston Rockets re-signed guard JD Davison to a Rest-of-Season Contract.,HOU,1631120.0,jd-davison,Signing 1148393
Signing,2026-04-07,Detroit Pistons re-signed forward Tolu Smith to a Rest-of-Season Contract.,DET,1642449.0,tolu-smith,Signing 1148402
Waive,2026-04-07,Detroit Pistons waived forward Bobi Klintman.,DET,1641752.0,bobi-klintman,Waive 1148403
Signing,2026-04-06,Atlanta Hawks signed center Tony Bradley to a Rest-of-Season Contract.,ATL,1628396.0,tony-bradley,Signing 1148213
Signing,2026-04-06,Toronto Raptors signed guard Tyreke Key to a Rest-of-Season Contract.,TOR,1642615.0,tyreke-key,Signing 1148214
Signing,2026-04-05,Golden State Warriors signed center Charles Bassey to a Rest-of-Season Contract.,GSW,1629646.0,charles-bassey,Signing 1148027
Signing,2026-04-04,Brooklyn Nets signed guard Malachi Smith to a Rest-of-Season Contract.,BRK,1641869.0,malachi-smith,Signing 1148019
Signing,2026-04-04,Boston Celtics re-signed guard Ron Harper Jr. to a Rest-of-Season Contract.,BOS,1631199.0,ron-harper-jr,Signing 1148021
Waive,2026-04-04,Atlanta Hawks waived guard Caleb Houstan.,ATL,1631216.0,caleb-houstan,Waive 1148020
Signing,2026-04-03,Memphis Grizzlies signed guard Dariq Whitehead to a 10-Day Contract.,MEM,1641727.0,dariq-whitehead,Signing 1147950
Signing,2026-04-03,Memphis Grizzlies signed forward Toby Okani to a 10-Day Contract.,MEM,1643253.0,toby-okani,Signing 1147951
Signing,2026-04-03,Utah Jazz signed guard Bez Mbeng to a Rest-of-Season Contract.,UTA,1643016.0,bez-mbeng,Signing 1147952
Signing,2026-04-02,Brooklyn Nets signed forward Trevon Scott to a 10-Day Contract.,BRK,1630286.0,trevon-scott,Signing 1147906
Signing,2026-04-01,Utah Jazz signed guard Kennedy Chandler to a 10-Day Contract.,UTA,1631113.0,kennedy-chandler,Signing 1147893
Signing,2026-03-31,Memphis Grizzlies signed guard Lucas Williamson to a 10-Day Contract.,MEM,1631351.0,lucas-williamson,Signing 1147883
Waive,2026-03-30,Chicago Bulls waived guard Jaden Ivey.,CHI,1631093.0,jaden-ivey,Waive 1147785
Signing,2026-03-28,Memphis Grizzlies signed guard Adama Bal to a 10-Day Contract.,MEM,1642380.0,adama-bal,Signing 1147703
Signing,2026-03-26,Sacramento Kings signed guard DaQuan Jeffries to a 10-Day Contract.,SAC,1629610.0,daquan-jeffries,Signing 1147586
Signing,2026-03-25,Brooklyn Nets signed guard Malachi Smith to a 10-Day Contract.,BRK,1641869.0,malachi-smith,Signing 1147575
Signing,2026-03-25,Boston Celtics signed center Charles Bassey to a 10-Day Contract.,BOS,1629646.0,charles-bassey,Signing 1147576
Signing,2026-03-25,Golden State Warriors signed center Omer Yurtseven to a 10-Day Contract.,GSW,1630209.0,omer-yurtseven,Signing 1147578
Signing,2026-03-23,Memphis Grizzlies signed forward Tyler Burton to a 10-Day Contract.,MEM,1631174.0,tyler-burton,Signing 1147490
Signing,2026-03-23,Memphis Grizzlies signed guard DeJon Jarreau to a 10-Day Contract.,MEM,1630610.0,dejon-jarreau,Signing 1147491
Signing,2026-03-23,Utah Jazz signed guard Bez Mbeng to a 10-Day Contract.,UTA,1643016.0,bez-mbeng,Signing 1147493
Signing,2026-03-23,Toronto Raptors signed guard Markelle Fultz to a 10-Day Contract.,TOR,1628365.0,markelle-fultz,Signing 1147496
Signing,2026-03-23,Milwaukee Bucks re-signed forward Pete Nance to a Rest-of-Season Contract.,MIL,1631250.0,pete-nance,Signing 1147545
Waive,2026-03-23,Milwaukee Bucks waived guard Cam Thomas.,MIL,1630560.0,cam-thomas,Waive 1147551
Signing,2026-03-21,Utah Jazz signed guard Kennedy Chandler to a 10-Day Contract.,UTA,1631113.0,kennedy-chandler,Signing 1147400
